txt1	lvl11	lvl12	lvl13	lvl14	txt2	lvl21	lvl22	lvl23	lvl24	mantra_id	pratika
RV		1	162	4c	ŚŚ		16	3	30	3000	
RV		1	84	15a	SV			1	147a	3013	
RV		1	84	15a	SV			2	265a	3013	
RV		1	84	15a	MS		2	13	6a	3013	
RV		1	84	15a	KS			39	12a	3013	
RV		1	84	15a	JB			3	65a	3013	
RV		1	84	15a	TB	1	5	8	1a	3013	
RV		1	84	15a	AŚ		9	8	3	3013	
RV		1	84	15a	BDh		3	8	8	3013	
RV		1	84	15a	N			2	6	3013	
RV		1	84	15a	N			4	25a	3013	
RV		1	154	6c	TS	1	3	6	2c	3015	
RV		1	154	6c	MS		1	2	14c	3015	
RV		1	154	6c	KS			3	3c	3015	
RV		1	154	6c	ŚB	3	7	1	15c	3015	
RV		1	154	6c	N			2	7c	3015	
RV		10	18	9c	AVP		1	66	1c	3043	
RV		10	18	9c	TA		6	1	3c	3043	
AVŚ		6	121	1d	AVŚ		11	1	8c	3056	
ŚB	14	7	2	9c	KU			6	14c	3069	
ŚB	14	7	2	9c	KU			6	15c	3069	
TB	1	1	10	2	TB	1	2	1	25a	3082	
TB	1	1	10	2	AŚ		2	5	2	3082	
TB	1	1	10	2	ApŚ		5	18	2a	3082	
TB	1	1	10	2	HirŚ		6	5	16	3082	
AVŚ		5	11	11d	AVP		8	1	11b	3093	
AVŚ		5	11	11d	Kauś			59	18	3093	atharvāṇam
RV		10	14	6b	VS			19	50b	3099	
RV		10	14	6b	TS	2	6	12	6b	3099	
RV		10	14	6b	N			11	19b	3099	
VS			11	32	TS	5	1	4	3	3100	
VS			11	32	MS		2	7	3	3100	
VS			11	32	MS		3	1	5	3100	
VS			11	32	KS			16	3	3100	
VS			11	32	KS			19	4	3100	
VS			11	32	ŚB	6	4	2	1	3100	
VS			11	32	Vait			5	14	3100	
RV		6	16	13b	VS			11	32b	3101	
RV		6	16	13b	VS			15	22b	3101	
RV		6	16	13b	TS	3	5	11	3b	3101	
RV		6	16	13b	TS	4	1	3	2b	3101	
RV		6	16	13b	TS	4	4	4	1b	3101	
RV		6	16	13b	MS		2	7	3b	3101	
RV		6	16	13b	KS			16	3b	3101	
RV		6	16	13b	Vait			5	14b	3101	
RV		6	16	13b	ŚB	6	4	2	2	3101	
RV		10	182	1	RV		10	182	3	3114	
RV		10	129	6d	TB	2	8	9	6d	3115	
RV		1	4	3a	AVŚ		20	68	3a	3123	
RV		1	4	3a	SV			2	439a	3123	
RV		6	16	18c	KS			20	14c	3132	
RV		7	11	4d	N			6	35d	3133	
KS			40	12d	ApŚ		9	8	6d	3139	
RV		1	93	7d	MS		4	14	6d	3141	
RV		1	93	7d	MS		4	14	8d	3141	
RV		1	93	7d	TB	2	8	4	6d	3141	
RV		1	10	3c	VS			8	34c	3144	
RV		1	10	3c	ŚB	4	5	3	10c	3144	
RV		10	15	4d	MS		4	10	6d	3149	
RV		10	15	4d	KS			21	14d	3149	
RV		10	15	4d	N			4	21	3149	
RV		3	29	10d	VS			3	14d	3153	
RV		3	29	10d	VS			12	52d	3153	
RV		3	29	10d	VS			15	56d	3153	
RV		3	29	10d	TS	1	5	5	2d	3153	
RV		3	29	10d	TS	4	2	4	4d	3153	
RV		3	29	10d	TS	4	7	13	5d	3153	
RV		3	29	10d	JB			1	61d	3153	
RV		3	29	10d	JB			1	61e	3153	
RV		3	29	10d	ŚB	2	3	4	13d	3153	
RV		3	29	10d	ŚB	7	1	1	28	3153	
RV		3	29	10d	TB	1	2	1	16d	3153	
RV		3	29	10d	TB	2	5	8	8d	3153	
RV		3	29	10d	JābU				4d	3153	
RV		9	4	1	RV		9	4	3	3154	
RV		9	4	1	RV		9	4	4	3154	
RV		9	4	1	RV		9	4	5	3154	
RV		9	4	1	RV		9	4	6	3154	
RV		9	4	1	RV		9	4	7	3154	
RV		9	4	1	RV		9	4	8	3154	
RV		9	4	1	RV		9	4	9	3154	
RV		9	4	1	RV		9	4	10	3154	
RV		9	4	1	SV			2	397	3154	
RV		9	4	1	SV			2	398	3154	
RV		9	4	1	SV			2	399	3154	
RV		9	4	1	SV			2	400	3154	
RV		9	4	1	SV			2	401	3154	
RV		9	4	1	SV			2	402	3154	
RV		9	4	1	SV			2	403	3154	
RV		9	4	1	SV			2	404	3154	
RV		9	4	1	SV			2	405	3154	
RV		9	4	1	SV			2	406	3154	
RV		9	4	1	JB			2	10	3154	
RV		9	4	1	JB			3	138	3154	
RV		10	14	10c	TS	1	8	5	2c	3161	
RV		10	14	10c	TA		6	3	1c	3161	
RV		4	18	11c	MS		4	12	5c	3163	
RV		3	47	2d	TS	1	4	42	1d	3166	
RV		3	47	2d	MS		1	3	23d	3166	
RV		3	47	2d	MS		4	14	12d	3166	
RV		3	47	2d	TB	2	8	4	2d	3166	
RV		3	47	2d	TA		10	1	11d	3166	
RV		3	47	2d	MahānU			20	2d	3166	
RV		7	98	5d	GB		2	3	23	3169	
RV		3	34	10d	MS		4	14	5d	3172	
RV		3	34	10d	MS		4	14	13d	3172	
RV		3	34	10d	TB	2	8	3	7d	3172	
RV		3	17	3d	MS		4	11	1d	3173	
RV		3	17	3d	KS			2	15d	3173	
RV		3	17	3d	AŚ		3	10	8d	3173	
RV		3	17	3d	MŚ		8	25	11	3173	atha bhava
RV		10	15	11d	TS	2	6	12	2d	3187	
RV		10	15	11d	MS		4	10	6d	3187	
RV		10	15	11d	KS			21	14d	3187	
RV		1	24	15c	TS	1	5	11	3c	3193	
RV		1	24	15c	TS	4	2	1	4c	3193	
RV		1	24	15c	MS		1	2	18c	3193	
RV		1	24	15c	MS		4	14	17c	3193	
RV		1	24	15c	KS			3	8c	3193	
RV		1	24	15c	KS			16	8c	3193	
RV		1	24	15c	ŚB	6	7	3	8	3193	
RV		1	24	15c	N			2	13	3193	
RV		1	24	15c	HG		1	9	10	3193	atha vayam āditya vrate
RV		1	163	13d	TS	4	6	7	5d	3201	
RV		1	163	13d	KSA			6	3d	3201	
VS			17	64c	TS	1	6	4	2c	3203	
VS			17	64c	TS	4	6	3	4c	3203	
VS			17	64c	MS		1	1	13c	3203	
VS			17	64c	MS		3	3	8	3203	
VS			17	64c	KS			1	12c	3203	
VS			17	64c	KS			18	3c	3203	
VS			17	64c	KS			21	8	3203	
VS			17	64c	ŚB	9	2	3	22c	3203	
VS			17	64c	MŚ	1	3	4	8	3203	
VS			17	64c	ApŚ		3	5	7	3203	athā sapatnān
VS			17	63c	TS	1	6	4	2c	3204	
VS			17	63c	TS	4	6	3	4c	3204	
VS			17	63c	MS		1	1	13c	3204	
VS			17	63c	KS			1	12c	3204	
VS			17	63c	KS			18	3c	3204	
VS			17	63c	ŚB	9	2	3	21c	3204	
VS			17	63c	MŚ	1	3	4	7	3204	
VS			17	63c	ApŚ		3	5	4	3204	athā sapatnān
VS			17	63c	ApŚ		3	5	7	3204	athā sapatnān
MS		2	8	1b	KS			21	3	3207	
RV		2	37	5d	ApŚ		21	7	17d	3213	
RV		2	37	5d	MŚ	7	2	2	30d	3213	
RV		1	108	1d	RV		1	108	7	3214	
RV		1	108	1d	RV		1	108	8	3214	
RV		1	108	1d	RV		1	108	9	3214	
RV		1	108	1d	RV		1	108	10	3214	
RV		1	108	1d	RV		1	108	11	3214	
RV		1	108	1d	RV		1	108	12	3214	
RV		1	108	1d	N			12	31d	3214	
RV		1	109	2c	N			6	9c	3215	
RV		10	85	33d	SMB		1	2	14d	3216	
RV		10	85	33d	PG		1	8	9d	3216	
RV		10	85	33d	ApMB		1	9	5d	3216	
RV		10	85	33d	HG		1	19	4d	3216	
RV		10	85	33d	MG		1	12	1d	3216	
RV		10	85	33d	JG			1	21d	3216	
AVŚ		7	14	3c	TB	2	7	15	1c	3219	
AVŚ		7	14	3c	AŚ		4	10	1c	3219	
AVŚ		7	14	3c	ŚŚ		5	14	8c	3219	
AVŚ		2	6	5d	AVP		3	33	6d	3220	
AVŚ		2	6	5d	VS			27	6d	3220	
AVŚ		2	6	5d	VSK			29	6d	3220	
AVŚ		2	6	5d	TS	4	1	7	3d	3220	
AVŚ		2	6	5d	MS		2	12	5d	3220	
AVŚ		2	6	5d	KS			18	16d	3220	
AVŚ		2	6	5d	HG		1	27	7c	3220	
VS			23	26c	MS		3	13	1c	3228	
VS			23	26c	ŚB	13	2	9	4	3228	
VS			23	26c	TB	3	9	7	1	3228	
VS			23	26c	AŚ		10	8	12c	3228	
VS			23	26c	AŚ		10	8	13c	3228	
VS			23	26c	ŚŚ		16	4	2c	3228	
VS			23	26c	Vait			36	31c	3228	
VS			23	26c	LŚ		9	10	3c	3228	
TS	3	5	6	1c	HirŚ		7	8	11	3230	
TS	3	5	6	1c	MŚ	2	2	4	19	3230	
ŚB	14	7	2	15d	ŚvetU			3	10d	3238	
TS	1	2	3	3c	ŚŚ		5	6	2c	3252	
TS	1	2	3	3c	MŚ	2	1	3	15c	3252	
RV		6	53	5	RV		6	53	7	3253	
RV		8	96	7d	SV			1	324d	3254	
RV		8	96	7d	AB		3	20	1d	3254	
RV		8	96	7d	TB	2	8	3	6d	3254	
RV		1	164	12c	PraśU			1	11c	3255	
RV		10	16	2b	TA		6	1	4b	3256	
RV		10	16	1d	TA		6	1	4d	3257	
AVŚ		19	52	5d	Kauś			92	31d	3268	
VS			30	22	TB	3	4	19	1	3270	
RV		10	85	35b	ApMB		1	17	10b	3294	
AVŚ		7	60	5c	VS			3	43c	3295	
AVŚ		7	60	5c	LŚ		3	3	1c	3295	
AVŚ		7	60	5c	ApŚ		6	27	3c	3295	
AVŚ		7	60	5c	ŚG		3	3	1c	3295	
AVŚ		7	60	5c	ŚG		3	7	2c	3295	
AVŚ		7	60	5c	HG		1	29	1c	3295	
AVŚ		2	4	6b	AVP		11	3	4b	3299	
RV		10	60	8e	RV		10	60	10d	3300	
RV		10	60	8e	AVŚ		6	19	2c	3300	
RV		10	60	8e	AVP		5	17	8f	3300	
RV		10	60	8e	AVP		15	21	5g	3300	
RV		10	60	8e	PB		1	5	18e	3300	
RV		10	137	4b	AVP		5	18	2b	3301	
TS	1	8	6	1c	KS			9	7c	3307	
RV		10	96	13b	AB		4	4	10	3314	
RV		10	96	13b	KB			17	4	3314	
RV		10	96	13b	AŚ		6	3	16b	3314	
AVŚ		12	1	7d	MS		4	14	11d	3319	
AVŚ		5	21	4e	AVŚ		5	21	6f	3337	
RV		1	164	46b	N			7	18b	3358	
RV		10	85	2c	ApMB		1	9	2c	3364	
RV		10	85	2c	MG		1	14	8c	3364	
AVŚ		9	4	4b	KS			13	9b	3372	
RV		10	159	3b	ApMB		1	16	3b	3394	
AVP		14	4	6c	TS	4	5	1	4c	3396	
AVP		14	4	6c	MS		2	9	2c	3396	
AVP		14	4	6c	KS			17	11c	3396	
AVP		14	4	6c	NīlarU				16c	3396	
RV		10	97	16c	AVŚ		7	112	2c	3409	
RV		10	97	16c	AVŚ		8	7	28c	3409	
RV		10	97	16c	AVP		3	17	4c	3409	
RV		10	97	16c	VS			12	90c	3409	
AVP		14	4	1c	TS	4	5	1	3c	3421	
AVP		14	4	1c	MS		2	9	2c	3421	
AVP		14	4	1c	KS			17	11c	3421	
AVP		14	4	1c	NīlarU				11c	3421	
RV		1	164	40b	ApŚ		9	5	4b	3438	
RV		1	164	40b	N			11	44b	3438	
RV		10	97	16b	AVŚ		7	112	2b	3439	
RV		10	97	16b	AVP		3	17	4b	3439	
RV		10	97	16b	VS			12	90b	3439	
RV		3	37	11b	AVŚ		20	57	7b	3450	
AVŚ		2	4	6c	AVP		11	3	4c	3469	
VS			12	54b	KS			21	3	3472	
VS			12	54b	ŚB	8	7	2	6	3472	
VS			12	17b	TS	4	2	1	5b	3473	
VS			12	17b	KS			16	8b	3473	
VS			12	17b	ŚB	6	7	3	15	3473	
RV		1	50	12c	AVP		1	28	4c	3491	
RV		1	50	12c	TB	3	7	6	23c	3491	
RV		1	50	12c	ApŚ		4	15	1c	3491	
RV		9	97	41c	SV			2	605c	3506	
RV		9	97	41c	JB			3	240c	3506	
RV		9	97	41c	N			14	17c	3506	
TS	7	5	12	1	TB	3	8	18	4	3507	
TS	7	5	12	1	ApŚ		20	12	5	3507	
RV		2	9	1c	TS	3	5	11	2c	3517	
RV		2	9	1c	TS	4	1	3	3c	3517	
RV		2	9	1c	MS		2	7	3c	3517	
RV		2	9	1c	KS			16	3c	3517	
RV		2	9	1c	AB		1	28	34	3517	
RV		2	9	1c	ŚB	6	4	2	7	3517	
RV		7	66	6b	JB			3	208b	3519	
RV		9	107	2b	JB			3	252b	3523	
RV		1	24	10c	TA		1	11	2c	3525	
VS			3	18f	TS	3	5	6	1d	3530	
VS			3	18f	ŚB	2	3	4	21	3530	
VS			3	18f	ŚŚ		2	11	3f	3530	
RV		1	89	1b	KS			26	11b	3531	
VS			1	30	KŚ		2	7	4	3535	adabdhena
TS	1	1	10	3	ApŚ		3	19	7	3537	
TS	1	1	10	3	ApŚ		6	6	6	3537	
TS	1	1	10	3	MŚ	1	2	5	12	3537	
TS	1	1	10	3	MG		2	2	9	3537	
KS			1	6	ApŚ		1	20	11	3539	
RV		6	71	3a	VS			33	84a	3545	
RV		6	71	3a	TS	1	4	24	1a	3545	
RV		6	71	3a	MS		1	3	27a	3545	
RV		6	71	3a	KS			4	10a	3545	
RV		6	71	3a	TB	2	4	4	7a	3545	
RV		6	71	3a	MŚ	2	5	1	38	3545	adabdhebhiḥ savitaḥ
RV		2	9	6c	TS	4	6	1	5c	3548	
RV		2	9	6c	MS		4	10	5c	3548	
RV		2	9	6c	KS			21	13c	3548	
RV		10	128	6b	KS			40	10b	3549	
TS	1	6	2	4	KS			5	1	3552	
TS	1	6	2	4	KS			32	1	3552	
RV		10	103	7b	SV			2	1205b	3555	
RV		10	103	7b	VS			17	39b	3555	
RV		10	103	7b	KS			18	5b	3555	
RV		5	32	1a	N			10	9a	3556	
RV		5	32	1a	Svidh		1	4	18	3556	adardaḥ
RV		8	103	1a	SV			2	865a	3559	
RV		8	103	1a	JB			2	148	3559	
RV		8	103	1a	PB		17	1	11	3559	
RV		8	103	1a	AŚ		4	13	7	3559	
RV		8	103	1a	MŚ	1	5	3	5	3559	
RV		8	103	1a	LŚ		4	10	4	3559	adarśi gātu
RV		8	103	1a	ŚŚ		6	4	7	3559	adarśi
MS		4	1	3	KS			31	2	3563	
MS		4	1	3	TB	3	2	3	12	3563	
MS		4	1	3	TB	3	7	4	17a	3563	
MS		4	1	3	ApŚ		1	14	3a	3563	
MS		4	1	3	MŚ	1	1	3	35	3563	
RV		10	120	3d	AVŚ		20	107	6d	3564	
RV		10	120	3d	AVP		6	1	3d	3564	
RV		10	120	3d	SV			2	835d	3564	
RV		10	120	3d	JB			2	144	3564	
RV		10	120	3d	AA	1	3	4	13	3564	
RV		10	120	3d	AA	5	1	6	2	3564	
RV		10	120	3d	MŚ	7	2	7	18d	3564	
VS			12	45c	MS		2	7	11c	3565	
VS			12	45c	MS		3	2	3	3565	
VS			12	45c	KS			16	11c	3565	
VS			12	45c	ŚB	7	1	1	3	3565	
VS			12	45c	TB	1	2	1	16c	3565	
RV		3	11	5a	TB	2	4	8	1a	3569	
AVŚ		1	20	1a	ApŚ		2	20	6a	3580	
AVŚ		1	20	1a	Kauś			2	39	3580	adārasṛt
AVŚ		1	20	1a	Kauś			14	7	3580	adārasṛt
VS			3	27	TS	1	6	3	1	3583	
VS			3	27	MS		4	2	5	3583	
VS			3	27	MS		4	9	7	3583	
VS			3	27	ŚB	2	3	4	34	3583	
VS			3	27	ŚB	14	2	1	7	3583	
VS			3	27	TA		4	8	1	3583	
VS			3	27	TA		5	7	1	3583	
VS			3	27	ŚŚ		2	12	3	3583	
VS			3	27	LŚ		3	6	3	3583	
VS			3	27	ApŚ		6	3	8	3583	
VS			3	27	ApŚ		15	9	3	3583	
AG		1	17	7a	ApMB		2	1	1b	3586	
AG		1	17	7a	JG			1	11b	3586	
AG		1	17	7a	VārG			4	8a	3586	
TS	3	1	4	4a	KS			30	8a	3590	
TS	3	1	4	4a	ApŚ		7	17	5	3590	
TS	3	1	4	4a	MS		4	14	4	3590	aditiḥ pāśān
TS	3	1	4	4a	MŚ	1	8	3	36	3590	aditiḥ pāśān
VS			25	2	MS		3	15	2	3593	
VS			25	2	KSA			13	3	3593	
KS			7	2	ApŚ		6	18	3	3594	
AVŚ		7	6	4b	VS			18	30b	3595	
AVŚ		7	6	4b	TS	1	7	7	1b	3595	
AVŚ		7	6	4b	MS		1	11	1b	3595	
AVŚ		7	6	4b	KS			13	14b	3595	
AVŚ		7	6	4b	ŚB	5	1	4	4	3595	
VS			14	29	MS		2	8	6	3599	
VS			14	29	KS			17	5	3599	
VS			14	29	ŚB	8	4	3	7	3599	
VS			4	21	MS		1	2	4	3602	
VS			4	21	MS		3	2	6	3602	
VS			4	21	KS			2	5	3602	
VS			4	21	KS			16	16	3602	
VS			4	21	ŚB	3	3	1	2	3602	
VS			13	18	MS		2	8	14	3604	
VS			13	18	KS			39	3	3604	
VS			13	18	ŚB	7	4	2	7	3604	
VS			4	19	TS	6	1	7	5	3606	
VS			4	19	MS		1	2	4	3606	
VS			4	19	MS		3	7	5	3606	
VS			4	19	KS			2	5	3606	
VS			4	19	KS			24	3	3606	
VS			4	19	ŚB	3	2	4	16	3606	
TB	3	5	13	3	ApŚ		2	5	9b	3609	
RV		8	18	7b	TB	3	7	10	5b	3610	
RV		8	18	7b	ApŚ		14	29	1b	3610	
RV		1	89	10d	VS			25	23d	3611	
RV		1	89	10d	MS		4	14	4d	3611	
RV		1	89	10d	AB		3	31	12	3611	
RV		1	89	10d	TA		1	13	2d	3611	
RV		1	89	10d	JUB		1	41	4d	3611	
RV		1	89	10d	N			4	23d	3611	
MS		2	13	20	KS			7	2	3612	
MS		2	13	20	KS			39	13	3612	
MS		2	13	20	TB	3	11	5	3	3612	
MS		2	13	20	ApŚ		6	18	3	3612	
RV		1	89	10a	VS			25	23a	3615	
RV		1	89	10a	MS		4	14	4a	3615	
RV		1	89	10a	AB		3	31	9	3615	
RV		1	89	10a	TA		1	13	2a	3615	
RV		1	89	10a	AŚ		3	8	1	3615	
RV		1	89	10a	AŚ		5	18	12	3615	
RV		1	89	10a	JUB		1	41	4a	3615	
RV		1	89	10a	N			1	15	3615	
RV		1	89	10a	N			4	23a	3615	
RV		1	89	10a	Vait			6	11	3615	aditir dyauḥ
RV		1	89	10a	Kauś			59	18	3615	aditir dyauḥ
RV		8	47	9a	TB	3	1	3	3	3616	
RV		1	89	10b	VS			25	23b	3620	
RV		1	89	10b	MS		4	14	4b	3620	
RV		1	89	10b	AB		3	31	10	3620	
RV		1	89	10b	AA	3	1	6	22	3620	
RV		1	89	10b	TA		1	13	2b	3620	
RV		1	89	10b	JUB		1	41	4b	3620	
RV		1	89	10b	N			4	23b	3620	
RV		6	75	12d	RV		8	47	9b	3627	
RV		6	75	12d	SV			2	1216d	3627	
RV		6	75	12d	VS			17	48d	3627	
RV		6	75	12d	VS			29	49d	3627	
RV		6	75	12d	TS	1	5	11	5b	3627	
RV		6	75	12d	TS	4	6	6	4d	3627	
RV		6	75	12d	MS		3	16	3d	3627	
RV		6	75	12d	KSA			6	1d	3627	
AVŚ		6	68	2a	Kauś			53	18	3628	aditiḥ śmaśru
VS			11	59d	MS		2	7	6d	3629	
VS			11	59d	MS		3	1	7	3629	
VS			11	59d	KS			16	5d	3629	
VS			11	59d	ŚB	6	5	2	21	3629	
VS			11	59	MS		2	7	6	3630	
VS			11	59	MS		3	1	7	3630	
VS			11	59	KS			16	5	3630	
VS			11	59	KS			19	6	3630	
VS			11	59	ŚB	6	5	2	20	3630	
VS			11	59	TA		4	2	6	3630	
VS			11	59	ApŚ		15	3	4	3630	
VS			11	59	ApŚ		16	5	3	3630	
VS			11	59	MŚ	6	1	2	10	3630	aditiṣ ṭe bilam
VS			11	59	KŚ		16	4	3	3630	aditiṣ ṭe
VS			11	61	MS		2	7	6	3631	
VS			11	61	MS		3	1	8	3631	
VS			11	61	MS		4	9	1	3631	
VS			11	61	KS			16	6	3631	
VS			11	61	ŚB	6	5	4	3	3631	
VS			11	61	KS			19	7	3631	aditis tvā devī viśvadevyāvatī
VS			11	61	ApŚ		16	5	8	3631	aditis tvā devī
VS			11	61	MŚ	6	1	2	15	3631	aditis tvā devī
VS			11	61	TS	5	1	7	1	3631	aditiṣ ṭvā
VS			11	61	KŚ		16	4	9	3631	aditiṣ ṭvā
VS			9	34	TS	1	7	11	2	3635	
RV		1	94	16d	RV		1	96	9d	3639	
RV		1	94	16d	RV		1	98	3d	3639	
RV		1	94	16d	RV		1	100	19d	3639	
RV		1	94	16d	RV		1	101	11d	3639	
RV		1	94	16d	RV		1	102	11d	3639	
RV		1	94	16d	RV		1	103	8d	3639	
RV		1	94	16d	RV		1	105	19d	3639	
RV		1	94	16d	RV		1	106	7d	3639	
RV		1	94	16d	RV		1	107	3d	3639	
RV		1	94	16d	RV		1	108	13d	3639	
RV		1	94	16d	RV		1	109	8d	3639	
RV		1	94	16d	RV		1	110	9d	3639	
RV		1	94	16d	RV		1	111	5d	3639	
RV		1	94	16d	RV		1	112	25d	3639	
RV		1	94	16d	RV		1	113	20d	3639	
RV		1	94	16d	RV		1	114	11d	3639	
RV		1	94	16d	RV		1	115	6d	3639	
RV		1	94	16d	RV		9	97	58d	3639	
RV		1	94	16d	AVP		4	28	7d	3639	
RV		1	94	16d	AVP		8	14	11d	3639	
RV		1	94	16d	AVP		13	6	6d	3639	
RV		1	94	16d	ArS			1	5d	3639	
RV		1	94	16d	VS			33	42d	3639	
RV		1	94	16d	VS			34	30d	3639	
RV		1	94	16d	MS		4	12	4d	3639	
RV		1	94	16d	MS		4	14	4d	3639	
RV		1	94	16d	KS			12	14d	3639	
RV		1	94	16d	AB		1	21	19	3639	
RV		1	94	16d	TB	2	8	7	2d	3639	
RV		1	94	16d	TA		4	42	3d	3639	
RV		1	94	16d	KA			1	218Bd	3639	
TS	2	3	1	2	ApŚ		19	20	6	3642	
TS	2	3	1	2	MŚ	5	1	8	11	3642	
TS	2	3	1	2	GG		1	3	1	3642	
TS	2	3	1	2	KhG		1	2	17	3642	
TS	2	3	1	2	HG		1	2	8	3642	
TS	2	3	1	2	JG			1	3	3642	
TS	2	3	1	2	ApG		1	2	3	3642	
TS	2	3	1	2	Karmap		1	9	6	3642	adite'nu
MS		4	13	2b	TB	3	6	2	1b	3644	
MS		4	9	7	TA		5	7	2	3649	
MS		4	9	7	KA			2	119	3649	
MS		4	9	7	ApŚ		15	9	5	3649	
MS		4	9	7	MŚ		4	3	5	3649	
VS			25	8	MS		3	15	7	3651	
VS			25	8	KSA			13	6	3651	
VS			14	25	TS	4	3	9	1	3656	
VS			14	25	TS	5	3	4	3	3656	
VS			14	25	MS		2	8	5	3656	
VS			14	25	KS			17	4	3656	
VS			14	25	KS			21	1	3656	
VS			14	25	ŚB	8	4	2	9	3656	
VS			14	25	MŚ	6	2	1	24	3656	
MS		1	1	5	MŚ	1	2	1	42	3658	
VS			1	14	VS			4	30	3659	
VS			1	14	TS	1	1	5	1	3659	
VS			1	14	TS	1	1	6	1	3659	
VS			1	14	MS		1	1	6	3659	
VS			1	14	MS		1	1	7	3659	
VS			1	14	MS		4	1	6	3659	
VS			1	14	MS		4	1	7	3659	
VS			1	14	KS			1	5	3659	
VS			1	14	KS			1	6	3659	
VS			1	14	KS			2	6	3659	
VS			1	14	KS			2	7	3659	
VS			1	14	KS			3	1	3659	
VS			1	14	KS			24	6	3659	
VS			1	14	KS			26	2	3659	
VS			1	14	KS			31	4	3659	
VS			1	14	KS			31	5	3659	
VS			1	14	ŚB	1	1	4	5	3659	
VS			1	14	ŚB	1	2	1	14	3659	
VS			1	14	ŚB	3	3	4	1	3659	
VS			1	14	TB	3	2	5	5	3659	
VS			1	14	TB	3	2	6	1	3659	
VS			1	14	ApŚ		1	19	4	3659	
VS			1	14	MŚ	1	2	2	5	3659	
VS			1	14	MŚ	1	2	2	7	3659	
VS			1	14	MŚ	2	1	4	20	3659	
VS			1	14	MŚ	2	2	4	34	3659	
VS			1	14	KŚ		2	4	3	3659	adityās tvak
VS			1	14	KŚ		7	9	6	3659	adityās tvak
VS			14	5	MS		2	8	1	3660	
VS			14	5	MS		4	1	2	3660	
VS			14	5	KS			17	1	3660	
VS			14	5	KS			20	10	3660	
VS			14	5	ŚB	8	2	1	10	3660	
VS			14	5	MŚ	1	1	1	50	3660	
VS			14	5	VārG			11	16	3660	
VS			4	22	KŚ		7	6	18	3661	adityās tvā
TS	1	1	4	2	TB	3	2	4	7	3662	
TS	1	1	4	2	ApŚ		1	5	2	3662	
TS	1	1	4	2	ApŚ		1	18	5	3662	
VS			4	30	TS	1	2	10	1	3663	
VS			4	30	TS	1	3	4	2	3663	
VS			4	30	TS	6	1	11	2	3663	
VS			4	30	TS	6	3	2	4	3663	
VS			4	30	MS		1	2	6	3663	
VS			4	30	MS		1	2	13	3663	
VS			4	30	MS		3	7	8	3663	
VS			4	30	MS		3	9	1	3663	
VS			4	30	ApŚ		10	27	10	3663	
VS			4	30	HirŚ		7	8	33	3663	
VS			4	30	MŚ	2	1	4	21	3663	
VS			4	30	MŚ	2	2	4	35	3663	
VS			4	30	KŚ		7	9	7	3663	adityai sadaḥ
KS			2	6	KS			3	1	3664	
KS			2	6	KS			24	6	3664	
KS			2	6	KS			26	2	3664	
TS	1	2	8	1	TS	1	3	4	2	3665	
TS	1	2	8	1	TS	6	1	11	2	3665	
TS	1	2	8	1	TS	6	3	2	4	3665	
TS	1	2	8	1	ApŚ		10	27	10	3665	
TS	1	2	8	1	HirŚ		7	8	32	3665	
MS		1	1	7	MŚ	1	2	2	27	3666	
VS			22	20	MS		3	12	5	3671	
VS			22	20	KSA			3	5	3671	
VS			22	20	ŚB	13	1	8	4	3671	
VS			22	20	TB	3	8	11	2	3671	
VS			1	30	VS			38	1	3672	
VS			1	30	VS			38	3	3672	
VS			1	30	TS	1	1	2	2	3672	
VS			1	30	TS	4	1	5	4	3672	
VS			1	30	MS		1	1	2	3672	
VS			1	30	MS		1	1	3	3672	
VS			1	30	MS		2	7	6	3672	
VS			1	30	MS		3	1	7	3672	
VS			1	30	MS		4	1	2	3672	
VS			1	30	MS		4	9	7	3672	
VS			1	30	KS			1	2	3672	
VS			1	30	KS			16	5	3672	
VS			1	30	KS			19	6	3672	
VS			1	30	KS			31	1	3672	
VS			1	30	ŚB	1	3	1	15	3672	
VS			1	30	ŚB	6	5	2	13	3672	
VS			1	30	ŚB	14	2	1	6	3672	
VS			1	30	ŚB	14	2	1	8	3672	
VS			1	30	TB	3	2	2	7	3672	
VS			1	30	TA		4	8	1	3672	
VS			1	30	TA		5	7	1	3672	
VS			1	30	ApŚ		1	4	10	3672	
VS			1	30	ApŚ		1	4	12	3672	
VS			1	30	ApŚ		1	12	7	3672	
VS			1	30	ApŚ		15	9	3	3672	
VS			1	30	ApŚ		16	5	1	3672	
VS			1	30	MŚ	1	1	1	41	3672	
VS			1	30	MŚ	1	1	3	17	3672	
VS			1	30	KŚ		2	7	1	3672	adityai rāsnā
VS			1	30	KŚ		16	3	30	3672	adityai rāsnā
VS			1	30	KŚ		26	5	3	3672	adityai rāsnā
VS			29	60	MS		3	15	10	3673	
VS			29	60	KSA			5	10	3673	
VS			2	2	KŚ		2	7	20	3674	adityai vyundanam
VS			22	20	VSK			24	27	3676	
VS			22	20	VSK			24	28	3676	
VS			22	20	TS	7	3	15	1	3676	
VS			22	20	MS		3	12	5	3676	
VS			22	20	KSA			3	5	3676	
VS			22	20	ŚB	13	1	8	4	3676	
VS			22	20	TB	3	8	11	2	3676	
VS			22	20	MS		3	12	5	3677	
VS			22	20	KSA			3	5	3677	
VS			22	20	ŚB	13	1	8	4	3677	
