id	word	grammar	preverbs	meanings
94007	pārajanmika	adj		(-janman) relating to a future birth
94008	pārajāyin	m		one who intrigues with another's wife; an adulterer
94009	pāratantrika	adj		belonging to or enjoined by the religious treatises of others
94010	pāratantrya	n		dependence on others
94011	pāratalpika	n		adultery
94012	pāratrika	adj		relating to or advantageous in another world
94013	pāratrya	adj		relating to or advantageous in another world
94014	pāradārika	adj		relating to anothers wife; adulterous
94015	pāradārin	m		
94016	pāradārya	n		adultery
94017	pāradeśya	adj		outlandish; foreign
94018	pāradeśya	m		a traveller or a foreigner
94019	pāradaurbalya	n		the inferiority of each following member of a series to the preceding
94020	pāradhenu	m		name of a low mixed caste; an Āyogava
94021	pāradhenuka	m		name of a low mixed caste; an Āyogava
94022	pārabhṛta	n		a present; offering
94023	pārampara	adj		further; future (world)
94024	pāramparī	f		regular succession; order
94025	pāramparīṇa	adj		passing from one to another; hereditary
94026	pāramparīya	adj		handed down; traditional
94027	pāramparya	n		uninterrupted series or succession; tradition; intermediation
94028	pārakramāgata	adj		derived from tradition
94029	pārayugīṇa	adj		
94030	pāralokya	adj		relating to the next world
94031	pāralaukika	adj		relating to the next world
94032	pāravargya	adj		belonging to another party
94033	pāravaśya	n		dependence
94034	pārastraiṇeya	m		a son by another's wife
94035	pārahaṃsya	adj		relating to an ascetic who has subdued all his senses
94036	pārārthya	n		dependence on or devotedness to another; altruism; disinterestedness
94037	pārāvarya	n		comprehensiveness
94038	pārakya	adj		belonging to another or a stranger; alien (opp. to sva); hostile
94039	pārakya	m		an enemy
94040	pārasyakulīna	adj		
94041	pāra	m		a guardian; keeper
94043	pāraṭīṭa	m		rock
94044	pārata	m		quicksilver; name of a people
94045	pārada	mn		[alchemy] quicksilver; name of a particular personification; name of a people or of a degraded tribe; [alchemy] a kind of mercury
94046	pāradakalpa	m		name of a work
94047	pārabava	n		name of 2 Sāmans
94048	pāramagopucchika	adj		= parama-gopucchena krītam
94049	pāramarṣa	adj		coming from a great ṣi
94050	pāramasthya	n		
94051	pāramahaṃsa	adj		relating to Parama-haṃsa
94052	pāramahaṃsa	n		the state or condition of a haṃsa
94053	pāramārthika	adj		relating to a high or spiritual object or to supreme truth; real; essential; true; one who cares for truth; excellent; best
94054	pārameśvara	adj		relating or belonging to or coming from the supreme god (Śiva)
94055	pārameśvara	mn		name of a work
94056	pārameśvaraka	adj		composed by Parameśvara
94057	pārameṣṭha	m		patr. of Narada
94058	pāramaiśvarya	n		supremacy; divinity
94059	pāramaka	adj		supreme; chief
94060	pārami	f		(?) extremity
94061	pāravata	m		= pārāvata; a pigeon
94062	pāraśava	adj		made of iron; name of a mine in which pearls are found and of the pearls found there
94063	pāraśava	mn		iron
94064	pāraśava	m		name of a mixed caste; a son by another's wife; a bastard; name of a people in the south-west of Madhyadeśa
94065	pāraśavāyana	m		patr. from pāraśava
94066	pāraśavya	m		
94067	pāraṣada	n		
94068	pāraṣada	adj		Persian
94069	pārasika	adj		Persian
94070	pārasika	m		the Persian
94071	pārasī	f		the Persian language
94072	pārasīka	adj		Persian
94073	pārasīka	m		the Persians; a Persian horse; Persia
94074	pārasikeya	adj		Persian
94075	pāraskara	m		name of the author of a Gṛhyasūtra and of a Dharmaśāstra; name of a district or a town
94076	pāraskara	adj		composed by Pāraskara
94077	pāraskaragṛhyasutra	n		name of a work
94078	pārasvata	adj		relating etc. to the wild ass
94079	pārāpata	m		a pigeon
94080	pārāpatapadī	f		Cardiospermum Halicacabum or Leea Hirta
94081	pārāpataka	m		a kind of rice
94082	pārāruka	m		a rock
94083	pārāvata	adj		remote; distant; coming from a distance; foreign; coming from a dove (pārāvata)
94084	pārāvata	m		name of a tribe on the Yamunā; a turtle-dove; pigeon; a kind of snake; name of a Nāga of the race of Airāvata; a monkey; Diospyros Embryopteris; a mountain; name of a class of deities under Manu Svārocisha
94085	pārāvatī	f		the fruit of the Averrhoa Acida; a form of song peculiar to cowherds; name of a river
94086	pārāvata	n		the fruit of Diospyros Embryopteris; iron; [min.] = sauvīra
94088	pārāvatadeśa	m		name of a country
94089	pārāvatapadī	f		Cardiospermum Halicacabum
94090	pārāvatasavarṇsa	m		name of the horses of Dhṛṣṭadyumna
94091	pārāvatākha	m		name of a serpent-demon
94092	pārāvatāṅghripiccha	m		a kind of pigeon
94093	pārāvatābha	adj		pigeon-like
94094	pārāvatāśva	m		name of Dhṛṣṭadyumna
94095	pārāvati	m		patr. of Vasurocis
94096	pārāśara	adj		proceeding or derived from Parāśara or Parāśarya
94097	pārāśara	m		a patronymic
94098	pārāśara	n		the rules of Parāśara for the conduct of the mendicant order; name of a Tīrtha at the Narmadā
94099	pārāśari	m		patr. of Vyāsa
94100	pārāśarin	m		a mendicant of the order of Parāśarya; name of a phil. school
94101	pārāśarī	f		patr. of Parāśara; a wk. of Parāśara
94102	pārāśariya	n		a wk. of Parāśara
94103	pārāśarya	m		name of Vyāsa; patr. from parā-śara
94104	pārāśaryāyaṇa	m		patr. from pārā-śarya
94105	pārikāṅkṣaka	m		a contemplative Brāhman (in the fourth period of life)
94106	pārikāṅkṣakṣin	m		a contemplative Brāhman (in the fourth period of life)
94107	pārikārmika	m		one who takes charge of the lesser vessels or utensils
94108	pārikuṭa	m		an attendant
94109	pārikṣi	m		name of a man
94110	pārikṣit	m		(-kṣit) patr. of Janamejaya
94111	pārikṣita	m		name of Janamejaya
94112	pārikṣepaka	mn		objection (?)
94113	pārikhīya	adj		
94114	pārikheya	adj		surrounded by a ditch
94115	pārigrāmika	adj		situated round a village
94116	pārijāta	m		the coral tree; Erythrina indica Lam. (losing its leaves in June and then covered with large crimson flowers); the wood of this tree; name of one of the 5 trees of paradise produced at the churning of the ocean and taken possession of by Indra from whom it was afterwards taken by Kṛṣṇa; fragrance; name of several wks.; name of a Nāga; name of a Ṛṣi; Rhododendron arboreum Sm.; [rel.] name of Śiva
94118	pāriṇāmika	adj		natural disposition; digestible; subject to development
94119	pāriṇāhya	n		household furniture and utensils
94120	pāritathyā	f		a string of pearls for binding the hair
94121	pāritoṣika	adj		gratifying
94122	pāritoṣika	n		a reward; gratuity
94123	pāridṛḍhi	m		
94124	pāridheya	m		patr. from pari-dhi
94125	pāridhvajika	m		(-dhvaja) a standard-bearer
94126	pāripanthika	m		a highwayman; robber; thief
94127	pāripāṭya	n		(-pāṭī) regularity; methodicalness
94128	pāripāna	n		drink (?)
94129	pāripārśva	n		retinue; attendants; bystanders (in a play)
94130	pāripālya	n		governorship
94131	pāripela	n		= pari-pelava
94132	pāriplavā	f		a boat; a class of gods in the 5th Manvantara
94133	pāriplava	m		a small spoon used at sacrifices; name of a son of Aśvamedha; name of a future son of Sukhibala
94134	pāriplava	n		name of a Tīrtha; Rundgangsrezitation [vgl. ŚB 13.4.3.1-2]
94135	pāriplava	adj		swimming; agitated; wavering; irresolute; revolving
94136	pāriplāvya	m		a goose
94137	pāriplāvya	n		agitation; tremulousness
94138	pāribarha	mn		name of a son of Garuḍa
94139	pāribhadraka	m		Erythrina Fulgens Indica; Azadirachta indica Juss.; Pinus Deodora; name of a son of Yajñabāhu; Pinus Longifolia
94140	pāribhadraka	n		name of a Varsha in Śālmaladvīpa ruled by Pāribhadra; Costus Speciosus
94142	pāribhavya	n		Costus speciosus; Costus arabicus
94143	pāribhāvya	n		Costus Speciosus or Arabicus; security; bail
94144	pāribhāṣika	adj		conventional; technical
94145	pāribhogika	mn		objects possessed or used by Buddha
94146	pārimaṇḍalya	n		(-maṇḍala) globularness; spherical shape
94147	pārimāṇya	n		(-māṇa) circumference; compass
94148	pārimitya	n		(-mita) the being confined; limitation
94149	pārimukhika	adj		being before the eyes; near; present
94150	pārimukhya	adj		present
94151	pārimukhya	n		nearness
94152	pāriyātra	m		name of the western Vindhya range; name of a man (son of Ahīnagu); name of a serpent which was burnt in Janamejayas sarpasattra
94153	pāriyānika	n		(-yāna) a travelling carriage
94154	pārirakṣaka	m		(-rakṣā) a Brāhman in the fourth period of life; a Bhikṣu or Sarinyāsī
94155	pārirakṣika	m		(-rakṣā) a Brāhman in the fourth period of life; a Bhikṣu or Sarinyāsī
94156	pārivatsa	m		a calf belonging to (cows)
94157	pārivittya	n		(-vitta) the being unmarried while a younger brother is married
94158	pārivṛḍhi	m		
94159	pārivettrya	n		(-vettṛ) the marriage of a younger brother before the elder
94160	pārivedya	n		the marriage of a younger brother before the elder
94161	pārivrājaka	adj		intended for a religious mendicant
94162	pārivrājaka	n		the life of a religious mendicant
94163	pāriśikṣā	f		name of a work
94164	pāriśīla	m		a cake
94165	pāriśeṣya	n		a result
94166	pāriṣatka	adj		
94167	pāriṣada	adj		fit for an assembly; decent; relating to a village
94168	pāriṣada	m		assessor at a council; auditor; spectator; a member of an assembly; a servant
94169	pāriṣada	n		taking part in an assembly
94170	pāriṣadaka	adj		done by an assembly
94171	pāriṣādya	m		a member of an assembly; spectator; councillor
94172	pāriṣeṇya	m		patr. from pari-skeṇa
94173	pārisāraka	adj		containing the word pari-sāraka
94174	pārisīrya	adj		
94175	pārihanavya	adj		
94177	pārihārika	m		a maker of garlands
94178	pārihārikī	f		a kind of riddle
94179	pārihārika	adj		having immunity; taking away; surrounding
94180	pārihārya	m		a bracelet
94181	pārihārya	n		taking; seizure; [bot.] name of a plant
94182	pārihāsya	n		jest; fun
94183	pārīkṣit	m		= next
94184	pārīkṣita	adj		relating to or treating of or derived from Parikṣit
94185	pārīkṣita	m		patr. of Janamejaya; name of a sovereign
94186	pāriṇahya	n		household furniture or utensils
94187	pāryantika	adj		(-anta) final; concluding; last
94188	pāryavasānika	adj		(-avasāna) verging to the close
94189	pāryāptika	adj		one who has said pary-āptam
94190	pāryulukhalya	adj		
94191	pāryoṣṭhya	adj		
94192	pāriṇa	m		name of a man
94193	pāritavat	adj		containing the word pārita
94194	pārindra	m		a lion
94195	pārileya	m		name of an elephant
94196	pāriśa	m		Thespesia Populneoides
94197	pārīndra	m		a lion; a large snake; boa
94198	pārīraṇa	m		
94199	pārīṣa	m		= pāriśla
94200	pāru	m		= peru; the sun; fire
94201	pārucchepa	adj		derived from Parucchepa; (verses) by Parucchepa
94202	pārucchepī	f		name of particular verses
94203	pārucchepa	n		name of 2 Sāmans
94204	pārucchepi	m		patr. from paruc-chepa
94205	pāruṣaka	mn		a species of flower
94206	pāruskika	adj		harsh; violent
94207	pāruṣeya	adj		spotted; freckled
94208	pāruṣṇa	m		a kind of bird
94209	pāruṣya	n		roughness; shagginess; dishevelled state (of the hair); harshness (esp. of language); reproach; insult; violence (in word or deed); squalor; the grove of Indra; aloe wood
94210	pāreraka	m		a sword; scimitar (?)
94211	pārevata	m		a kind of date
94212	pārokṣa	adj		undiscernible; mysterious
94213	pārokṣya	adj		undiscernible; invisible; hidden
94214	pārokṣya	n		mysteriousness; mystery
94215	pārovarya	n		tradition
94216	pārghaṭa	n		ashes
94217	pārjanya	adj		relating or belonging to Parjanya
94218	pārṇa	adj		made or consisting of leaves; raised from leaves (as a tax); made of the wood of the Butea Frondosa
94219	pārṇa	m		a hut made of leaves; a patronymic
94220	pārṇavalka	adj		
94221	pārṇavalki	m		patr. of Nigada
94222	pārṇavalkya	m		patr. from parṇa-valka
94224	pārtha	n		name of 12 sacred texts (ascribed to Pṛthi Vainya and repeated during the ceremony of unction in the Rājasūya sacrifice); name of several Sāmans; Pārthaspende
94225	pārthya	m		a descendant of Pṛthi
94226	pārtha	m		patr. of Tānva; metron. of Yudhiṣṭhira; name of a king of Kaśmīra (son of Paṅgu) and of another man; the tree Terminalia Arjuna; metron. of Bhīmasena; metron. of Arjuna; the Pāṇḍavas collectively
94227	pārthakirāta	m		name of the Kirātārjunīya
94228	pārthaja	m		a son of Partha
94229	pārthaparākrama	m		name of a drama
94230	pārthapura	n		name of a city near the confluence of the Godāvarī and Vidarbhā
94231	pārthamaya	adj		consisting of sons of Pṛtha
94232	pārthavijaya	m		name of a work
94233	pārthasārathi	m		name of Kṛṣṇa
94234	pārthastuti	f		name of a Stotra
94235	pārtha	m		a prince; king
94236	pārtha	m		(in astron.) the Virgo of the zodiac
94237	pārthakya	n		severalty; difference; variety
94238	pārthagarthya	n		difference of purpose or meaning
94239	pārthava	adj		belonging or peculiar to Pṛthu
94240	pārthava	m		patr. from pṛthu
94241	pārthava	n		width; great extent
94242	pārthiva	adj		fit for kings or princes; royal; princely; earthen; earthy; earthly; terrestrial
94243	pārthiva	m		an inhabitant of the earth; a lord of the earth; king; prince; warrior; an earthen vessel; a particular Agni; the 19th (or 53rd) year in Jupiter's cycle of 60 years; name of a family belonging to the Kauśikas
94244	pārthivī	f		name of Sītā; name of Lakṣmī; name of a work; name of a mudrā; [min.] = manaḥśilā
94245	pārthiva	n		(pl.) the regions of the earth; an earthy substance; Tabernaemontana Coronaria; [min.] = audbhida
94248	pārthivapūjana	n		
94249	pārthivapujā	f		name of a work
94251	pārthivaliṅga	n		characteristic or attribute of a king
94255	pārthivādhama	m		the lowest or meanest of kings
94256	pārthivārcanavidhi	m		name of a work. Pārthivﾈndra; the chief or greatest of princes
94257	pārthiveśvara	m		the chief or greatest of princes
94258	pārthuraśma	n		name of several Sāmans
94259	pārda	m		a species of tree
94260	pārdā	f		name of a woman
94261	pārdāvat	adj		
94262	pārdākī	f		a species of plant
94263	pārdāyanī	f		
94264	pārpara	m		a handful of rice; consumption or some other disease; a filament of the Nauclea Cadamba; ashes; name of Yama; = jarāṭa (?)
94265	pārvaṇa	adj		belonging or relating to a division of time or to the changes of the moon (such as at new or full moon); increasing; waxing; full (as the moon)
94266	pārvaṇa	mn		a halfmonth; oblations offered at new and full moon; fortnightly sacrifice
94267	pārvaṇacaṭaśraddhaprayoga	m		name of a work
94268	pārvaṇacandrikā	f		name of a work
94269	pārvaṇaśrāddha	n		name of a work
94270	pārvāyānāntīya	adj		belonging to the days of new and full moon and to the solstices
94271	pārvata	adj		being in or growing on or coming from or consisting of mountains; mountainous; hilly
94272	pārvata	m		Melia Bukayun
94274	pārvatāyana	m		patr. of a chamberlain
94275	pārvati	m		patr. of Dakṣa
94276	pārvatika	n		a multitude of mountains; mountain-range
94277	pārvatī	f		a mountain stream; Boswellia Thurifera; Grislea Tomentosa; a kind of pepper; a kind of fragrant earth; a female cowherd or Gopī; name of the god Śiva's wife (as daughter of Himavat); name of Draupadī; name of several other women; name of a cave in mount Meru; jīvanī; name of a river
94278	pārvatīkṣetra	n		name of one of the 4 esp. sacred districts of Orissa
94279	pārvatīdharmaputraka	m		name of Paraśurāma
94280	pārvatīnandana	m		name of Kārttikeya
94281	pārvatīnātha	m		name of several men; [rel.] name of Śiva
94282	pārvatīnetra	m		(in music) a kind of measure
94283	pārvatīpati	m		name of Śiva
94284	pārvatīpariṇaya	m		name of a poem and a drama
94285	pārvatīpaścāttāpavarṇana	n		name of a work
94286	pārvatīprāṇanātha	m		name of Śiva
94287	pārvatīmokṣaṇa	n		name of chapter of GaṇP
94288	pārvatīlocana	m		(in music) a kind of measure
94289	pārvatīśvara	m		
94290	pārvatīsakha	m		name of Śiva
94291	pārvatīsampradāna	n		name of chapter of BrahmaPur.
94292	pārvatīsahasranāman	n		name of a work
94293	pārvatīsvayaṃvara	m		name of a drama
94294	pārvatīya	adj		living or dwelling in the mountains; mountainous
94295	pārvatīya	m		a mountaineer; Juglans Regia; name of a sovereign ruling in the mountains; name of a mountains tribe; a kind of venomous insect
94296	pārvateya	adj		belonging or relating to the mountains; mountains-born
94297	pārvateya	m		name of a prince of mountaineers
94298	pārvateyī	f		name of the smaller or upper mill-stone
94299	pārvateya	n		antimony
94300	pārśava	m		a prince of the Parśus
94301	pārśukā	f		a rib
94302	pārśva	mn		the region of the ribs (the ribs); side; flank (either of animate or inanimate objects); the side = nearness; proximity; a curved knife; a side of any square figure; the curve or circumference of a wheel; Querfortsatz (des Opferl￶ffels); a crooked knife; instrument servant ￠ remuer la vasā dans la cuiller du vasāhoma
94303	pārśva	n		a multitude of ribs; the thorax; the extremity of the fore-axle nearest the wheel to which the outside horses of a four-horse chariot are attached; a fraudulent or crooked expedient
94304	pārśva	m		the side horse on a chariot; name of an ancient Buddhist teacher; (with Jainas) name of the 23rd Arhat of the present Avasarpiṇī and of his servant; (du.) heaven and earth
94305	pārśva	adj		near; proximate
94306	pārśvaga	adj		going at a person's side; accompanying; being in close proximity to (gen. or comp.); an attendant
94307	pārśvaga	m		attendants; retinue
94308	pārśvagata	adj		being at the side; attending; accompanying; being close to or beside; sheltered; screening
94309	pārśvagamana	n		the act of going by the side; accompanying
94310	pārśvacandra	m		name of an author
94311	pārśvacara	m		an attendant; attendants; retinue
94312	pārśvatas	ind		by or from the side; at the side; near; sideways; aside (with gen. or ifc.)
94313	pārśvada	m		an attendant; attendants; retinue
94314	pārśvadāha	m		a borning pain in the side
94315	pārśvadeva	m		name of an author
94316	pārśvadeśa	m		the region of the side; the ribs
94317	pārśvadruma	m		the trees at the side or on every side
94318	pārśvanātha	m		name of a Jaina teacher (predecessor of Mahāvirā)
94319	pārśvaparivartita	adj		turned sidewards
94320	pārśvaparivartin	adj		being or going by the side of (comp.)
94321	pārśvapippala	n		a species of Harītaki
94322	pārśvabhaṅga	m		pain in the side
94324	pārśvamaṇḍalin	m		name of a particular posture in dancing
94325	pārśvamānī	f		the longer side of an oblong or the side of a square
94327	pārśvavaktra	m		name of one of Śiva's attendants
94329	pārśvavartin	m		attendants; retinue
94330	pārśvavivartin	adj		being by the side of; living with (gen.)
94331	pārśvaśaya	adj		lying of sleeping on the side
94332	pārśvaśāyin	m		name of a particular position of the moon
94333	pārśvaśūla	m		a shooting pain in the side; stitch; pleurisy
94335	pārśvasaṃhita	adj		laid together side by side
94336	pārśvasaṃdhāna	n		laying together (bricks) with their sides
94337	pārśvasūtraka	mn		a kind of ornament
94338	pārśvastha	adj		standing at the side; being near or close to; adjacent; proximate
94339	pārśvastha	m		an associate; companion; (esp.) a stage manager's assistant (said to serve as a sort of chorus)
94341	pārśvānucara	m		an attendant; body-servant
94342	pārśvāyāta	adj		one who has approached close to
94343	pārśvārti	f		pain in the side; pleurisy
94344	pārśvāvamarda	m		pain in the side; pleurisy
94345	pārśvāsanna	adj		sitting by the side; standing next; present
94347	pārśvāsthi	n		a rib
94348	pārśvaikādaśī	f		= ūśva-parivartana
94349	pārśvopapārśva	m		flank and shoulder-blade
94350	pārśvopapīḍam	ind		(to laugh) so as to hold one's sides
94351	pārśvaka	m		a rib
94352	pārśvaka	n		a by-way; dishonest means
94353	pārśvaka	adj		one who seeks wealth or other objects by indirect or side means
94354	pārśvatīya	adj		being on or belonging to or situated at the side
94355	pārśvala	adj		
94356	pārśvika	adj		lateral; belonging to the side
94357	pārśvika	m		a sidesman; associate; a juggler; name of an ancient teacher
94358	pārśvika	n		a by-way; a dishonest means
94359	pārśvya	m		heaven and earth
94360	pārśava	m		a warrior armed with an axe
94361	pārṣaki	m		
94362	pārṣata	adj		belonging to the spotted antelope; made of its skin
94363	pārṣata	m		patr. of Drupada; patr. of Drupadas son Dhṛṣṭadyumna; name of Śikhaṇḍin
94364	pārṣatī	f		patr. of Draupadī; name of Durgā; Boswellia Thurifera
94365	pārṣadaṃśa	adj		
94366	pārṣadaśva	m		a patronymic
94367	pārṣadvāṇa	m		a patron
94368	pārṣad	f		an assembly; the attendance or retinue of a god
94369	pārṣada	m		an associate; companion; attendant (esp. of a god); a member of an assembly; spectator
94370	pārṣada	n		a text-book received by any particular grammatical school; name of a work
94371	pārṣadaṭīkā	f		name of a work
94372	pārṣadatā	f		the office of an attendant (esp. of the attendant of a god)
94373	pārṣadapariśiṣṭa	n		name of a work
94374	pārṣadīya	adj		conformable to the received text-book of any particular grammatical school
94375	pārṣadya	m		= pārtṣadya; a member of an assembly; assessor; pl.= pārṣada
94376	pārṣika	m		
94377	pārṣikā	f		name of a woman
94378	pārṣikya	n		
94379	pārṣī	f		dung
94380	pārṣṭeya	adj		being within the ribs
94381	pārṣṭhika	adj		being after the manner of the Pṛṣṭhya (Shaḍaha)
94382	pārṣṇi	mf		the heel; the extremity of the fore-axle to which the outside horses of a four-horse chariot are attached (the two inner horses being harnessed to the dhur); the rear of an army; the back; a kick; enquiry; asking; a foolish or licentious woman; name of a plant
94383	pārṣṇikṣeman	m		name of a divinity
94384	pārṣṇiga	adj		following a person's heels or the rear of an army
94385	pārṣṇigraha	adj		seizing or threatening from behind
94386	pārṣṇigraha	m		a follower; either an ally who supports or an enemy who attacks the rear of a king
94387	pārṣṇigrahaṇa	n		attacking or threatening an enemy in the rear
94388	pārṣṇigrāha	adj		attacking in the rear
94390	pārṣṇitra	n		a rear-guard reserve
94391	pārṣṇiprahāra	m		
94392	pārṣṇiyantṛ	m		a charioteer who drives side-horse
94393	pārṣṇivāh	m		"drawing the extremities of the axle-tree"
94394	pārṣṇivalha	m		an outside horse
94395	pārṣṇisārathi	m		the two charioteers who drive the outside horses
94396	pārṣṇīla	adj		
94397	pārṣṇuvi	m		a patron
94398	pāla	m		a guard; protector; keeper; a herdsman; protector of the earth; king; a spitting spittoon (as "recipient" ?); name of a serpent-demon of the race of Vāsuki; name of a prince; name of an author; prince
94399	pālī	f		a herdsman's wife; an oblong pond (as "receptacle" of water?)
94400	pālakavirāja	m		name of a poet
94401	pālakāvya	n		name of a poem
94402	pālaghna	m		a mushroom
94404	pālaka	m		a horse-keeper; groom; a maintainer; observer; a species of plant with a poisonous bulb; Plumbago Zeylanica; a horse; name of several princes; a guardian; a foster-father; a prince; name of a son of Caṇḍamahāsena
94405	pālaka	n		a spittoon; [bot.] a kind of śāliparṇī
94406	pālaka	adj		guarding; nourishing
94407	pālakagotra	n		the family or tribe of one's adoptive parents
94408	pālakākhyā	f		name of the mother of Pālakāpya
94409	pālana	adj		guarding
94410	pālana	n		the act of guarding; protecting; nourishing; defending; maintaining; keeping; observing; the milk of a cow that has recently calved; name of a Varṣa
94411	pālanīya	adj		to be guarded or protected or maintained or observed; a protector or guardian
94412	pāli	m		(prob.) a protector; ruler
94414	pālita	m		Trophis Aspera; name of a prince; son of Parājit or Parāvṛt; name of a poet
94415	pālitā	f		name of one of the Mātṛs attending on Skanda
94416	pālin	adj		protecting; guarding; keeping
94417	pālin	m		a ruler; name of a son of Pṛthu; [rel.] a form of Śiva
94418	pālinī	f		Ficus Heterophylla
94419	pālīvrata	n		a particular observance
94420	pāleya	adj		
94421	pālakāpya	m		name of an ancient sage or Muni; name of an author
94422	pālakāpya	n		name of his wk
94423	pālakka	mn		name of a country
94424	pālakyā	f		Beta Bengalensis; Beta maritima (vulgaris)
94425	pālaṅka	m		Boswellia Thurifera; a species of bird
94426	pālaṅka	mf		Beta Bengalensis; Beta maritima (vulgaris)
94427	pālaṅkī	f		gum olibanum; incense
94428	pālaṅkya	fn		incense; Beta Bengalensis; Beta maritima (vulgaris)
94429	pālaṅgin	m		name of a school called after a disciple of Vaiśampāyana
94430	pālada	adj		
94431	pālala	adj		made of powdered sesamum seed
94432	pālavi	f		a kind of vessel
94433	pālahāri	m		name of a man
94434	pālāgala	m		a runner; messenger (according to others " a bearer of false tidings"); courier
94435	pālāgalī	f		the fourth and least respected wife of a prince
94436	pālāśa	adj		coming from or belonging to the tree Butea Frondosa; made of its wood; green
94437	pālāśa	m		Butea Frondosa
94438	pālāśakarman	n		name of a particular ceremony
94439	pālāśakalpa	m		name of a work
94440	pālāśavidhi	m		name of a work
94441	pālāśakhaṇḍa	m		name of Magadha
94442	pālāśaṣaṇḍa	m		name of Magadha
94443	pālaśaka	adj		
94444	pālāśi	m		
94445	pāli	f		the tip or lobe of the ear; the outer ear; a boundary; limit; margin; edge; a row; line; range; a dam; dike; bridge; a pot; boiler; a particular measure of capacity; prescribed food; maintenance of a scholar during the period of his studies by his teacher; the lap; bosom; a circumference; a mark; spot; a louse; a woman with a beard ; = prabedha
94446	pāliṃhira	m		a kind of snake
94447	pālijvara	m		a kind of fever
94448	pālibhaṅga	m		bursting of a dike
94449	pālyāmaya	m		a disease of the outer ear
94450	pālikā	f		the tip of the ear; a margin; edge; a pot or boiler; a cheese or butter knife; [alchemy] a kind of alchemical apparatus; = darvī
94451	pālitya	n		greyness (of age); hoariness
94452	pālinda	m		incense; Jasminum Pubescens
94453	pālindī	f		Ichnocarpus Frutescens
94454	pālindhī	f		a species of Ipomoea with dark blossoms
94455	pālisāyana	m		a patronymic
94456	pālīvata	m		a species of tree
94457	pālohaya	m		a patronymic
94458	pāllaka	adj		
94459	pāllavā	f		a game played with twigs
94460	pāllavika	adj		diffusive; digressive
94461	pālvala	adj		coming from a tank or pool
94462	pālvalatīra	adj		
94463	pāva	adj		
94464	pāva	m		(in music) a particular wind-instrument
94465	pāvaka	adj		pure; clear; bright; shining; relating to Agni
94467	pāvaka	m		name of a particular Agni (in the Purāṇas said to be a son of Agni Abhimānin and Svāhā or of Antardhāna and Śikhaṇḍinī); fire; a saint; Premna Spinosa; Plumbago Zeylanica; the plant Plumbago Rosea
94470				shining brightly
94471	pāvakasuta	m		patr. of Sudarśana
94472	pāvakātmaja	m		patr. of Skanda; name of Hanuman
94473	pāvakāraṇi	m		Premna Spinosa
94475	pāvakāstra	n		a fiery weapon
94476	pāvakeśvara	n		name of a Tirtha
94477	pāvaki	m		name of Skanda; name of Sudarśana; name of Viṣṇu
94478	pāvakīya	adj		coming from the god of fire or relating to him; fiery (said of weapons)
94479	pāvana	adj		purifying; purificatory; pure; holy; living on wind
94480	pāvana	m		a particular fire; fire; incense; a species of Verbesina with yellow flowers; name of Vyāsa; name of one of the Viśve Devāh; name of a son of Kṛṣṇa; name of a mountain; name of a Varṣa; mercury
94481	pāvanī	f		Terminalia Chebula; holy basil; a cow; name of a river; the Ganges or the goddess Gaṅgā; = gorocanā; [rel.] name of Devī
94482	pāvana	n		the act or a means of cleansing or purifying; purification; sanctification; penance; atonement; water; cow-dung; the seed of Elaeocarpus Ganitrus (of which rosaries are made); Costus Speciosus; a sectarial mark; tiges de soma servant ￠ purifier l'upāṃśugraha
94483	pāvanatva	n		the property of cleansing or purifying
94484	pāvanadhvani	m		a conch-shell
94485	pāvamāna	adj		relating to Soma juice (while being purified by a strainer) or to Agni Pavamāna; purificatory
94486	pāvamāna	m		the authors of the Pāvamānī hymns or verses
94487	pāvamāna	n		name of several Sāmans
94489	pāvitra	n		a kind of metre; purification (?)
94490	pāvitrāyaṇa	m		patr. from pavitra
94491	pāvitrya	n		purity
94492	pāvinī	f		
94493	pāvya	adj		to be cleansed or purified
94494	pāvara	mn		the die or side of a die which is marked with 2 dots or points
94495	pāvaṣṭurikeya	m		patr. from pavaṣṭurika
94496	pāvā	f		name of a city near Rājagṛha
94497	pāvāpurī	f		name of a city near Rājagṛha
94498	pāvindāyana	m		metron. from pavindā
94499	pāvīrava	adj		proceeding from or relating to the thunderbolt
94500	pāvīravī	f		the noise of thunder
94501	pāśa	m		a snare; trap; noose; tie; bond; cord; chain; fetter; the noose as attribute of Śiva or Yama
94502	pāśā	f		a rope; fetter
94503	pāśakaṇṭha	adj		having a noose round the neck
94504	pāśakapālin	adj		having a noose and a skull
94505	pāśakrīḍā	f		gambling
94506	pāśajāla	n		the outer world conceived as a net
94508	pāśadyumna	m		name of a man
94509	pāśadhara	m		name of Varuṇa
94510	pāśapāṇi	m		name of Varuṇa
94512	pāśabandha	m		a noose; snare; halter; net
94513	pāśabandhaka	m		a bird-catcher
94514	pāśabandhana	n		a snare; fetter
94515	pāśabandhana	adj		hanging in a snare
94516	pāśabhṛt	m		
94517	pāśarajju	f		a fetter; rope
94518	pāśavat	adj		having or possessing a noose (as Varuṇa)
94520	pāśānta	m		the back of a garment (opp. to daśā)
94521	pāśābhidhānā	f		name of the 12th day of a half-month
94522	pāśaka	m		a snare; trap; noose; a die; a hunter who catches animals with a noose
94523	pāśikā	f		a strap of leather on a plough
