id	word	grammar	preverbs	meanings
266	aupāsana	m		fire used for domestic worship; small cake offered to the Manes; das f￼r das h￤usliche Ritual bestimmte Feuer, das bei der Hochzeit angelegt wird; das f￼r das h￤usliche Ritual bestimmte Feuer; sp￤ter dient es speziell f￼r den piṇḍapitṛyajña
267	aupāsana	adj		relating to or performed at an aupāsana fire (as the evening and morning oblations)
268	aupāsanaprayoga	m		manner of performing the rites at the AupAsana fire
269	aupāsanika	m		Aupāsana fire
270	aupodita	m		descendant of Upodita; name of Tumiñja
271	aupoditeya	m		descendant of AupoditI
272	aupodghātika	adj		occasioned; occasional
273	aum	ind		the sacred syllable of the ShUdras
274	auma	adj		made of flax; flaxen
275	aumaka	adj		flaxen
276	aumika	adj		relating to flax
277	aumīna	n		field of flax
278	auma	adj		relating to the goddess Umā
279	aumāpata	n		relating to or treating on UmA's husband or Siva
280	aumbheyaka	adj		relating to one who fills up
281	auraga	adj		relating or belonging to a snake; serpentine
282	auraga	n		name of the constellation SleshA
283	aurabhra	adj		belonging to or produced from a ram or sheep
284	aurabhra	m		coarse woollen blanket; name of a physician
285	aurabhra	n		mutton; flesh of sheep; woollen cloth
286	aurabhraka	n		flock of sheep
287	aurabhrika	adj		relating to sheep
288	aurabhrika	m		shepherd
289	aurava	n		width; dimension; extension; spaciousness
290	aurava	m		descendant of Uru; name of the Ṛṣi Arga
291	aurasa	adj		belonging to or being in the breast; produced from the breast; innate; own; produced by one's self
292	aurasa	m		sound produced from the breast; own son; legitimate son (one by a wife of the same caste married according to the prescribed rules)
293	aurasā	f		legitimate daughter
294	aurasāyani	m		descendant of Uras; descendant of Aurasa
295	aurasi	m		descendant of Uras
296	aurasika	adj		like a breast
297	aurasya	adj		belonging to or produced from the breast (as a sound); produced by one's self; own; legitimate
298	aurasa	adj		coming from or belonging to Urasā
299	aurā	f		name of a woman
300	aurukṣaya	n		name of a SAman
301	aurukṣayasa	m		descendant of Urukzayas
302	aurjasya	n		particular style of composition
303	aurjitya	n		strength; vigour
304	aurṇa	adj		made of wool; woollen
305	aurṇanābha	m		descendant of ￒrZanAbha
306	aurṇanābhaka	adj		inhabited by the ￒrZanAbhas (as a country)
307	aurṇavābha	m		a descendant of ￗrṇavābhi; name of a demon; name of a grammarian
308	aurṇāyava	n		name of a Sāman
309	aurṇāvatya	m		descendant of UrZAvat
310	aurṇika	adj		woollen
311	aurdāyanī	f		descendant of Urdi
312	aurdhvakālika	adj		relating to subsequent time
313	aurdhvadeha	adj		relating or referring to the state after death; relating to future life
314	aurdhvadehika	adj		relating to the life after death; relating to a deceased person; performed in honour of the dead; funereal; funeral
315	aurdhvadehika	n		obsequies of a deceased person; whatever is offered or performed on a person's decease (as burning of the body, offering cakes, distributing alms etc.)
