id	word	wordnet21id	wordnetSupersenseId	wordnetSupersenseName
849	persuasion	changing a person's beliefs by argument or reasoning or entreaty	_	_	_
850	expiation	the act of atoning for sin or wrongdoing	_	_	_
851	reparation	compensation (given or received) for an injury or insult; "an act for which there is no reparation"; "how can I make amends?"	_	_	_
852	liberation	the act of liberating someone or something	00093	04	act
853	jail delivery	the use of force to liberate prisoners	00093	04	act
854	reclamation	rescuing from error and returning to a rightful course	_	_	_
855	salvage	the act of rescuing a ship or its crew or its cargo from a shipwreck or a fire	00093	04	act
856	salvation	saving someone or something from harm of from an unpleasant situation; "the salvation of his party was the president's major concern"	00094	04	act
857	search and rescue mission	a military rescue mission to search for survivors and to rescue them	_	_	_
858	ransom	the act of freeing from captivity or punishment	00094	04	act
859	recapture	the act of taking something back	00094	04	act
860	recapture	a legal seizure by the government of profits beyond a fixed amount	00094	04	act
861	implementation	the act of implementing (providing a practical means for accomplishing something)	_	_	_
862	invocation	the act of appealing for help	00094	04	act
863	instrumentation	the act of providing or using the instruments needed for some implementation	00095	04	act
864	performance	the act of doing something successfully; using knowledge as distinguished from merely possessing it; "experience generally improves performance"	_	_	_
865	specific performance	the performance of a legal contract as specified by its terms	00095	04	act
866	mechanism	technical aspects of doing something; "mechanisms of communication"; "the mechanics of prose style"	_	_	_
867	service	the performance of duties by a waiter or servant; "that restaurant has excellent service"	00095	04	act
868	self-service	the practice of serving yourself (as in a grocery or cafeteria)	00096	04	act
869	dramatic production	a performance of a drama	_	_	_
870	encore	an extra or repeated performance; usually given in response to audience demand	00096	04	act
871	extemporization	a performance given without planning or preparation	_	_	_
872	juggle	throwing and catching several objects simultaneously	00097	04	act
873	magic trick	an illusory feat; considered magical by naive observers	00097	04	act
874	musical performance	act of performing music	_	_	_
875	rendition	the act of interpreting something as expressed in an artistic performance	_	_	_
876	reinterpretation	a new or different interpretation	00098	04	act
877	playing	the act of playing a musical instrument	00098	04	act
878	bowing	managing the bow in playing a stringed instrument; "the violinist's bowing was excellent"	00098	04	act
879	jam session	an impromptu jazz concert	00099	04	act
880	automation	a highly technical implementation; usually involving electronic hardware; "automation replaces human workers by machines"	_	_	_
881	motorization	the act of motorizing (equiping with motors or with motor vehicles)	00100	04	act
882	propulsion	the act of propelling	00043	04	act
883	launching	the act of propelling with force	00100	04	act
884	launching	the act of moving a newly-built vessel into the water for the first time	_	_	_
885	rocket firing	the launching of a rocket or missile under its own power	00100	04	act
886	blastoff	the launching of a missile or spacecraft to a specified destination	00100	04	act
887	moon shot	the launching of a spacecraft to the moon	00101	04	act
888	drive	the act of applying force to propel something; "after reaching the desired velocity the drive is cut off"	00101	04	act
889	firewall	(informal) the application of maximum thrust; "he slammed the throttle to the firewall"	_	_	_
890	impulse	the act of applying force suddenly; "the impulse knocked him over"	00101	04	act
892	throw	the act of throwing (propelling something through the air with a rapid movement of the arm and wrist); "the catcher made a good throw to second base"	00101	04	act
893	throw-in	act or instance of throwing a ball in to put it into play	_	_	_
894	pitch	the action or manner of throwing something; "his pitch fell short and his hat landed on the floor"	00103	04	act
895	pass	(sports) the act of throwing the ball to another member of your team; "the pass was fumbled"	00103	04	act
896	shy	a quick throw; "he gave the ball a shy to the first baseman"	00104	04	act
897	slinging	throwing with a wide motion (as if with a sling)	00104	04	act
898	fling	the act of flinging	00102	04	act
899	heave	throwing something heavy (with great effort); "he gave it a mighty heave"; "he was not good at heaving passes"	00102	04	act
900	hurl	a violent throw	00102	04	act
901	pitch	the throwing of a baseball by a pitcher to a batter	_	_	_
902	balk	an illegal pitching motion while runners are on base	00104	04	act
903	ball	a pitch that is not in the strike zone; "he threw nine straight balls before the manager yanked him"	00104	04	act
904	beanball	a baseball deliberately thrown at the batter's head	00104	04	act
905	change-up	a baseball thrown with little velocity when the batter is expecting a fastball	00105	04	act
